ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
3ef9b90e-e361-476f-b10e-b88cd07d3361,Ad hoc,,TM-23,Checking login functions,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:38,PASS,,11/2/2022 17:38,,,,,,a0e19bb3-f9ec-4c38-8e16-01d859877259,1,OPEN THE BROWSER,CHROME BROWSER,BROWSER SHOULD OPEN,PASS,,
3ef9b90e-e361-476f-b10e-b88cd07d3361,Ad hoc,,TM-23,Checking login functions,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:38,PASS,,11/2/2022 17:38,,,,,,c956c99c-317f-411f-ba82-4d8234c097f2,2,ENTER URL,https://opensource-demo.orangehrmlive.com/,IT SHOULD NAVIGATE TO LOGIN PAGE TO ORANGE HRM,PASS,,
3ef9b90e-e361-476f-b10e-b88cd07d3361,Ad hoc,,TM-23,Checking login functions,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:38,PASS,,11/2/2022 17:38,,,,,,72142748-0c49-4d79-9ba7-46b23a398003,3,ENTER USERNAME,ADMIN,ENTER USERNAME SHOULD BE ACC,PASS,,
3ef9b90e-e361-476f-b10e-b88cd07d3361,Ad hoc,,TM-23,Checking login functions,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:38,PASS,,11/2/2022 17:38,,,,,,c6caf84c-1896-4ba9-9618-1c512352a853,4,ENTER PASSWORD,ADMIN123,ENTER PASSWORD SHOULD BE ACC,PASS,,
6d96e231-1da5-429e-af07-3f6791c4c478,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:42,PASS,,11/2/2022 17:42,,,,,,4926fcc4-824a-4009-8b93-a11f20030091,1,Open the Orange HRM URL,https://opensource-demo.orangehrmlive.com/,Orange HRM page should open without any errors,PASS,,
6d96e231-1da5-429e-af07-3f6791c4c478,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:42,PASS,,11/2/2022 17:42,,,,,,7bdba7a6-8f3f-46ea-91e4-8156fc6e78e7,2,Click on Leave Menu,It will goes to leave page,Leave Page Should Opend  Sucessful,PASS,,
6d96e231-1da5-429e-af07-3f6791c4c478,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:42,PASS,,11/2/2022 17:42,,,,,,b8d0df66-ccf9-416e-9f7a-7b68eae48a93,3,Click on Apply leave tabClick on Apply leave tab,Click on Apply leave tab,It Should Go To Leave apply page,PASS,,
6d96e231-1da5-429e-af07-3f6791c4c478,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:42,PASS,,11/2/2022 17:42,,,,,,6b5463b4-6d66-4d71-b1e3-0cc539076a8f,4,click on  my leave menu,IT will goes to leave menu,It should go to leave menu,PASS,,
6d96e231-1da5-429e-af07-3f6791c4c478,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:42,PASS,,11/2/2022 17:42,,,,,,894c56bc-ae09-4b3d-89d8-94b43c594de9,5,Click on personal details,It will goes to details page,Page should be sucessfully opned,PASS,,
c1d07254-4d03-4b6d-9bf7-063d2dac6c5d,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:45,PASS,,11/2/2022 17:45,,,,,,4926fcc4-824a-4009-8b93-a11f20030091,1,Open the Orange HRM URL,https://opensource-demo.orangehrmlive.com/,Orange HRM page should open without any errors,PASS,,
c1d07254-4d03-4b6d-9bf7-063d2dac6c5d,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:45,PASS,,11/2/2022 17:45,,,,,,7bdba7a6-8f3f-46ea-91e4-8156fc6e78e7,2,Click on Leave Menu,It will goes to leave page,Leave Page Should Opend  Sucessful,PASS,,
c1d07254-4d03-4b6d-9bf7-063d2dac6c5d,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:45,PASS,,11/2/2022 17:45,,,,,,b8d0df66-ccf9-416e-9f7a-7b68eae48a93,3,Click on Apply leave tabClick on Apply leave tab,Click on Apply leave tab,It Should Go To Leave apply page,PASS,,
c1d07254-4d03-4b6d-9bf7-063d2dac6c5d,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:45,PASS,,11/2/2022 17:45,,,,,,6b5463b4-6d66-4d71-b1e3-0cc539076a8f,4,click on  my leave menu,IT will goes to leave menu,It should go to leave menu,PASS,,
c1d07254-4d03-4b6d-9bf7-063d2dac6c5d,Ad hoc,,TM-22,checking the login functionality,team management,,Unscheduled,Medium,Savitha A,11/2/2022 17:45,PASS,,11/2/2022 17:45,,,,,,894c56bc-ae09-4b3d-89d8-94b43c594de9,5,Click on personal details,It will goes to details page,Page should be sucessfully opned,PASS,,
